"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","zeu","sp_nome","latitude","longitude","gi_df"
"552.000",15.771,35,1,1,1,2,"condominio living design","rua purpurina, 390 . vila madalena",2014,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5541085,-46.6919461,0
"1.160.000",12.473,93,3,1,2,2,"condominio jardim america","rua alves guimaraes, 1133 . vila madalena",1999,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5532508,-46.680456,0
"1.100.000",10.476,105,3,1,3,2,"condominio casa de navarra","rua harmonia, 722 . vila madalena",1987,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5519667,-46.6901029,0
"559.104",13.002,43,1,1,1,1,"condominio loft vila madalena","rua oscar caravelas, 280 . vila madalena",2003,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.5445667,-46.6962621,0
"890.000",9081,98,3,0,2,1,"condominio lulo sarkis bussamara","rua amalia de noronha, 383 . vila madalena",1971,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5526919,-46.6812106,0
"2.116.000",14.593,145,2,1,4,2,"condominio andrea","rua pascoal vita, 366 . vila madalena",1983,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5516295,-46.6983621,0
"850.000",6800,125,3,1,2,1,"condominio ouro verde","rua cardeal arcoverde, 1864 . vila madalena",1964,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"PINHEIROS",-23.562022,-46.6891975,0
"2.350.000",13.722,180,2,1,5,2,"condominio ilha de guadeloupe","rua leao coroado, 209 . vila madalena",1993,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,"PINHEIROS",-23.5512624,-46.6987018,0
"595.000",17,35,1,0,1,1,"condominio living design","rua purpurina, 390 . vila madalena",2014,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5541085,-46.6919461,0
"600.000",20,30,1,0,1,1,"condominio meet sp","rua alves guimaraes, 1120 . vila madalena",2017,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,"PINHEIROS",-23.5527761,-46.6799408,0
"1.470.000",13.363,110,1,1,2,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"595.000",17,35,1,0,1,1,"condominio living design","rua purpurina, 390 . vila madalena",2014,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5541085,-46.6919461,0
"890.000",9569,93,2,0,2,1,"condominio paulistania","rua paulistania, 432 . vila madalena",1973,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"PINHEIROS",-23.5479539,-46.6906628,0
"850.000",15.686,51,2,0,1,1,"condominio living design","rua purpurina, 390 . vila madalena",2014,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5541085,-46.6919461,0
"653.200",10.049,65,2,0,2,1,"condominio monte paschoal","rua antonio borba, 192 . vila madalena",1987,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.5417349,-46.7025116,0
"2.870.000",13.798,208,3,1,4,5,"condominio flamboyant","rua original, 22 . vila madalena",2001,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5526715,-46.6868139,0
"750.000",6000,125,3,1,4,1,"condominio ouro verde","rua cardeal arcoverde, 1864 . vila madalena",1964,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"PINHEIROS",-23.562022,-46.6891975,0
"2.766.000",14.112,196,4,1,5,4,"condominio george gershwin","rua senador cesar lacerda vergueiro, 491 . vila madalena",2006,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,"PINHEIROS",-23.5461403,-46.6937387,0
"3.400.000",11.764,289,4,1,5,5,"condominio pablo picasso","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"600.000",8695,69,2,0,1,0,"condominio lulo sarkis bussamara","rua amalia de noronha, 383 . vila madalena",1971,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5526919,-46.6812106,0
"6.016.000",12.032,500,4,1,5,6,"condominio panamericano","rua isabel de castela, 580 . vila madalena",1991,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.55068,-46.699551,0
"750.000",9493,79,2,0,2,1,"condominio jardim colonial","rua mourato coelho, 756 . vila madalena",1972,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,"PINHEIROS",-23.560905,-46.6893331,0
"478.000",19.916,24,1,1,1,0,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2.470.000",11.382,217,4,1,3,3,"condominio mont serrat montseny","rua leao coroado, 393 . vila madalena",1985,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,"PINHEIROS",-23.5514856,-46.6998414,0
"830.000",8924,93,3,1,3,2,"condominio firenze","rua antonio borba, 169 . vila madalena",1989,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,"PINHEIROS",-23.5417336,-46.7017616,0
"600.000",10.909,55,2,0,2,1,"condominio amboise","rua padre artur somensi, 8 . vila madalena",1982,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,"PINHEIROS",-23.5531944,-46.6971247,0
"760.000",13.571,56,2,1,1,1,"condominio west hills loft","rua jerico, 227 . vila madalena",1995,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5515106,-46.6896092,0
"1.703.000",10.017,170,4,1,4,3,"condominio montpellier","rua beatriz, 195 . vila madalena",1983,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5504029,-46.6971097,0
"650.000",6018,108,2,0,2,0,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
